,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
25,BITCOIN (BTC),LSTM,2,100,64,tanh,32,29300.975566545814
28,BITCOIN (BTC),LSTM,2,100,128,tanh,16,29502.629504973545
4,BITCOIN (BTC),LSTM,1,50,128,tanh,16,29554.157905322885
30,BITCOIN (BTC),LSTM,2,100,128,relu,16,29678.617340886587
24,BITCOIN (BTC),LSTM,2,100,64,tanh,16,29832.665036331262
38,BITCOIN (BTC),LSTM,3,50,128,relu,16,30056.033570666692
36,BITCOIN (BTC),LSTM,3,50,128,tanh,16,30105.556593505644
7,BITCOIN (BTC),LSTM,1,50,128,relu,32,30194.083519855565
3,BITCOIN (BTC),LSTM,1,50,64,relu,32,30214.998892540472
42,BITCOIN (BTC),LSTM,3,100,64,relu,16,30236.699905905552
18,BITCOIN (BTC),LSTM,2,50,64,relu,16,30317.55380333871
1,BITCOIN (BTC),LSTM,1,50,64,tanh,32,30376.58749630871
32,BITCOIN (BTC),LSTM,3,50,64,tanh,16,30405.28599026725
43,BITCOIN (BTC),LSTM,3,100,64,relu,32,30530.07774898676
14,BITCOIN (BTC),LSTM,1,100,128,relu,16,30544.780754405834
21,BITCOIN (BTC),LSTM,2,50,128,tanh,32,30548.480063002968
46,BITCOIN (BTC),LSTM,3,100,128,relu,16,30553.554632152907
45,BITCOIN (BTC),LSTM,3,100,128,tanh,32,30634.055656431705
9,BITCOIN (BTC),LSTM,1,100,64,tanh,32,30659.164720004323
15,BITCOIN (BTC),LSTM,1,100,128,relu,32,30666.22184213046
26,BITCOIN (BTC),LSTM,2,100,64,relu,16,30724.0422671412
27,BITCOIN (BTC),LSTM,2,100,64,relu,32,30724.47616854688
35,BITCOIN (BTC),LSTM,3,50,64,relu,32,30750.430996521976
8,BITCOIN (BTC),LSTM,1,100,64,tanh,16,30760.091682682527
31,BITCOIN (BTC),LSTM,2,100,128,relu,32,30787.487328634943
0,BITCOIN (BTC),LSTM,1,50,64,tanh,16,30809.44600438361
47,BITCOIN (BTC),LSTM,3,100,128,relu,32,30841.063920078213
41,BITCOIN (BTC),LSTM,3,100,64,tanh,32,30877.51192498353
16,BITCOIN (BTC),LSTM,2,50,64,tanh,16,30884.093608304604
33,BITCOIN (BTC),LSTM,3,50,64,tanh,32,30908.40971466259
5,BITCOIN (BTC),LSTM,1,50,128,tanh,32,30937.90786596564
2,BITCOIN (BTC),LSTM,1,50,64,relu,16,30940.822615481073
11,BITCOIN (BTC),LSTM,1,100,64,relu,32,30965.876674921845
6,BITCOIN (BTC),LSTM,1,50,128,relu,16,31129.89853101975
37,BITCOIN (BTC),LSTM,3,50,128,tanh,32,31169.027822817527
13,BITCOIN (BTC),LSTM,1,100,128,tanh,32,31188.081487055446
40,BITCOIN (BTC),LSTM,3,100,64,tanh,16,31208.607624630233
44,BITCOIN (BTC),LSTM,3,100,128,tanh,16,31231.547963870227
20,BITCOIN (BTC),LSTM,2,50,128,tanh,16,31245.23526634391
10,BITCOIN (BTC),LSTM,1,100,64,relu,16,31312.682050383086
12,BITCOIN (BTC),LSTM,1,100,128,tanh,16,31395.123364263647
39,BITCOIN (BTC),LSTM,3,50,128,relu,32,31438.504550685437
17,BITCOIN (BTC),LSTM,2,50,64,tanh,32,31556.595153571317
19,BITCOIN (BTC),LSTM,2,50,64,relu,32,31608.796091138745
22,BITCOIN (BTC),LSTM,2,50,128,relu,16,31876.34340928173
23,BITCOIN (BTC),LSTM,2,50,128,relu,32,31929.55791952441
34,BITCOIN (BTC),LSTM,3,50,64,relu,16,32186.653041250982
29,BITCOIN (BTC),LSTM,2,100,128,tanh,32,32290.74052288458
