,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
45,BITCOIN (BTC),RNN,3,100,128,tanh,32,29363.553948933622
26,BITCOIN (BTC),RNN,2,100,64,relu,16,29435.611193989094
25,BITCOIN (BTC),RNN,2,100,64,tanh,32,29705.878838412962
24,BITCOIN (BTC),RNN,2,100,64,tanh,16,30046.061141786675
27,BITCOIN (BTC),RNN,2,100,64,relu,32,30091.542664573473
6,BITCOIN (BTC),RNN,1,50,128,relu,16,30164.266234071496
37,BITCOIN (BTC),RNN,3,50,128,tanh,32,30178.9485232364
40,BITCOIN (BTC),RNN,3,100,64,tanh,16,30289.130184016933
9,BITCOIN (BTC),RNN,1,100,64,tanh,32,30376.71836901673
32,BITCOIN (BTC),RNN,3,50,64,tanh,16,30430.44745548642
46,BITCOIN (BTC),RNN,3,100,128,relu,16,30465.984105945223
41,BITCOIN (BTC),RNN,3,100,64,tanh,32,30476.054210676404
34,BITCOIN (BTC),RNN,3,50,64,relu,16,30534.809707419827
8,BITCOIN (BTC),RNN,1,100,64,tanh,16,30536.657739063976
33,BITCOIN (BTC),RNN,3,50,64,tanh,32,30582.851611639235
13,BITCOIN (BTC),RNN,1,100,128,tanh,32,30613.389826144405
3,BITCOIN (BTC),RNN,1,50,64,relu,32,30642.30717028761
39,BITCOIN (BTC),RNN,3,50,128,relu,32,30652.13364282659
18,BITCOIN (BTC),RNN,2,50,64,relu,16,30652.468438948337
1,BITCOIN (BTC),RNN,1,50,64,tanh,32,30707.05300075301
42,BITCOIN (BTC),RNN,3,100,64,relu,16,30725.74420049136
11,BITCOIN (BTC),RNN,1,100,64,relu,32,30743.19405075384
28,BITCOIN (BTC),RNN,2,100,128,tanh,16,30756.35832193462
4,BITCOIN (BTC),RNN,1,50,128,tanh,16,30766.60814988851
23,BITCOIN (BTC),RNN,2,50,128,relu,32,30776.68767645772
20,BITCOIN (BTC),RNN,2,50,128,tanh,16,30798.12328683028
5,BITCOIN (BTC),RNN,1,50,128,tanh,32,30839.28058352538
2,BITCOIN (BTC),RNN,1,50,64,relu,16,30853.66691582795
10,BITCOIN (BTC),RNN,1,100,64,relu,16,30923.313308014913
16,BITCOIN (BTC),RNN,2,50,64,tanh,16,30931.892967243155
38,BITCOIN (BTC),RNN,3,50,128,relu,16,30984.31030415855
31,BITCOIN (BTC),RNN,2,100,128,relu,32,30985.22644730555
0,BITCOIN (BTC),RNN,1,50,64,tanh,16,31017.12265835573
12,BITCOIN (BTC),RNN,1,100,128,tanh,16,31026.906677807805
14,BITCOIN (BTC),RNN,1,100,128,relu,16,31100.65080881719
19,BITCOIN (BTC),RNN,2,50,64,relu,32,31121.637588018486
30,BITCOIN (BTC),RNN,2,100,128,relu,16,31144.702995031068
21,BITCOIN (BTC),RNN,2,50,128,tanh,32,31174.58989353856
44,BITCOIN (BTC),RNN,3,100,128,tanh,16,31180.728149071703
47,BITCOIN (BTC),RNN,3,100,128,relu,32,31210.91979097127
15,BITCOIN (BTC),RNN,1,100,128,relu,32,31266.28243074663
22,BITCOIN (BTC),RNN,2,50,128,relu,16,31315.611713934344
7,BITCOIN (BTC),RNN,1,50,128,relu,32,31329.635059686134
17,BITCOIN (BTC),RNN,2,50,64,tanh,32,31425.849605222265
36,BITCOIN (BTC),RNN,3,50,128,tanh,16,31514.95498570555
29,BITCOIN (BTC),RNN,2,100,128,tanh,32,31590.714125181166
35,BITCOIN (BTC),RNN,3,50,64,relu,32,31895.246547213206
43,BITCOIN (BTC),RNN,3,100,64,relu,32,31962.174445551886
