,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
44,Binance Coin (BNB),LSTM,3,100,128,tanh,16,260.6379416342757
35,Binance Coin (BNB),LSTM,3,50,64,relu,32,270.06175599378935
3,Binance Coin (BNB),LSTM,1,50,64,relu,32,270.9329464925174
12,Binance Coin (BNB),LSTM,1,100,128,tanh,16,271.1554776187357
20,Binance Coin (BNB),LSTM,2,50,128,tanh,16,271.44600951966345
0,Binance Coin (BNB),LSTM,1,50,64,tanh,16,271.482126355797
26,Binance Coin (BNB),LSTM,2,100,64,relu,16,272.0124295662221
25,Binance Coin (BNB),LSTM,2,100,64,tanh,32,272.068706962422
11,Binance Coin (BNB),LSTM,1,100,64,relu,32,272.4470788835968
9,Binance Coin (BNB),LSTM,1,100,64,tanh,32,272.4614420208718
47,Binance Coin (BNB),LSTM,3,100,128,relu,32,273.3125799280849
5,Binance Coin (BNB),LSTM,1,50,128,tanh,32,274.1931284269277
27,Binance Coin (BNB),LSTM,2,100,64,relu,32,274.45978979400473
8,Binance Coin (BNB),LSTM,1,100,64,tanh,16,274.8297115841965
46,Binance Coin (BNB),LSTM,3,100,128,relu,16,275.5841412557188
36,Binance Coin (BNB),LSTM,3,50,128,tanh,16,275.6826973823778
32,Binance Coin (BNB),LSTM,3,50,64,tanh,16,276.2778365973923
38,Binance Coin (BNB),LSTM,3,50,128,relu,16,276.3353055986435
34,Binance Coin (BNB),LSTM,3,50,64,relu,16,276.3426838785795
14,Binance Coin (BNB),LSTM,1,100,128,relu,16,276.43431542588644
7,Binance Coin (BNB),LSTM,1,50,128,relu,32,276.4597013761255
19,Binance Coin (BNB),LSTM,2,50,64,relu,32,276.4723094882071
6,Binance Coin (BNB),LSTM,1,50,128,relu,16,276.64420431294513
40,Binance Coin (BNB),LSTM,3,100,64,tanh,16,277.0150480805674
45,Binance Coin (BNB),LSTM,3,100,128,tanh,32,277.088196662568
10,Binance Coin (BNB),LSTM,1,100,64,relu,16,277.70542350600476
23,Binance Coin (BNB),LSTM,2,50,128,relu,32,277.98697154824544
31,Binance Coin (BNB),LSTM,2,100,128,relu,32,278.1889450218434
43,Binance Coin (BNB),LSTM,3,100,64,relu,32,278.7511476854583
15,Binance Coin (BNB),LSTM,1,100,128,relu,32,279.26243680979155
28,Binance Coin (BNB),LSTM,2,100,128,tanh,16,280.62496059818267
42,Binance Coin (BNB),LSTM,3,100,64,relu,16,280.96865458678815
4,Binance Coin (BNB),LSTM,1,50,128,tanh,16,281.30461508418324
24,Binance Coin (BNB),LSTM,2,100,64,tanh,16,281.53564675494255
16,Binance Coin (BNB),LSTM,2,50,64,tanh,16,281.5743440799787
18,Binance Coin (BNB),LSTM,2,50,64,relu,16,281.72197564389165
1,Binance Coin (BNB),LSTM,1,50,64,tanh,32,282.0450570302302
37,Binance Coin (BNB),LSTM,3,50,128,tanh,32,282.1071185884437
22,Binance Coin (BNB),LSTM,2,50,128,relu,16,282.7306444073135
17,Binance Coin (BNB),LSTM,2,50,64,tanh,32,283.0154485745966
13,Binance Coin (BNB),LSTM,1,100,128,tanh,32,283.044564776843
33,Binance Coin (BNB),LSTM,3,50,64,tanh,32,283.2554608689029
41,Binance Coin (BNB),LSTM,3,100,64,tanh,32,283.75868413460387
21,Binance Coin (BNB),LSTM,2,50,128,tanh,32,283.9678700788155
2,Binance Coin (BNB),LSTM,1,50,64,relu,16,284.0834656044451
30,Binance Coin (BNB),LSTM,2,100,128,relu,16,285.86333435416094
29,Binance Coin (BNB),LSTM,2,100,128,tanh,32,290.3984453099802
39,Binance Coin (BNB),LSTM,3,50,128,relu,32,290.49532071412074
