,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
45,Binance Coin (BNB),RNN,3,100,128,tanh,32,269.50760505733115
37,Binance Coin (BNB),RNN,3,50,128,tanh,32,270.97698818137354
40,Binance Coin (BNB),RNN,3,100,64,tanh,16,271.0182720467697
20,Binance Coin (BNB),RNN,2,50,128,tanh,16,271.27222291126685
21,Binance Coin (BNB),RNN,2,50,128,tanh,32,271.72454264775394
46,Binance Coin (BNB),RNN,3,100,128,relu,16,271.994763320584
16,Binance Coin (BNB),RNN,2,50,64,tanh,16,272.2992237103255
47,Binance Coin (BNB),RNN,3,100,128,relu,32,272.4761520653627
32,Binance Coin (BNB),RNN,3,50,64,tanh,16,272.5359544932953
1,Binance Coin (BNB),RNN,1,50,64,tanh,32,272.9019271512283
17,Binance Coin (BNB),RNN,2,50,64,tanh,32,273.1309199434285
38,Binance Coin (BNB),RNN,3,50,128,relu,16,273.6933254844594
30,Binance Coin (BNB),RNN,2,100,128,relu,16,273.89238537719274
3,Binance Coin (BNB),RNN,1,50,64,relu,32,274.228415947387
8,Binance Coin (BNB),RNN,1,100,64,tanh,16,275.19532260487506
34,Binance Coin (BNB),RNN,3,50,64,relu,16,275.27127406651846
5,Binance Coin (BNB),RNN,1,50,128,tanh,32,275.43787171456916
39,Binance Coin (BNB),RNN,3,50,128,relu,32,275.6431991374794
41,Binance Coin (BNB),RNN,3,100,64,tanh,32,275.9018927364852
15,Binance Coin (BNB),RNN,1,100,128,relu,32,276.17956342566464
25,Binance Coin (BNB),RNN,2,100,64,tanh,32,276.2679175255869
24,Binance Coin (BNB),RNN,2,100,64,tanh,16,276.3412994799704
12,Binance Coin (BNB),RNN,1,100,128,tanh,16,276.61165212397964
27,Binance Coin (BNB),RNN,2,100,64,relu,32,276.6185074803721
2,Binance Coin (BNB),RNN,1,50,64,relu,16,276.7605733069316
14,Binance Coin (BNB),RNN,1,100,128,relu,16,276.77639670886026
7,Binance Coin (BNB),RNN,1,50,128,relu,32,276.781865792485
13,Binance Coin (BNB),RNN,1,100,128,tanh,32,276.8077440993829
19,Binance Coin (BNB),RNN,2,50,64,relu,32,276.9319311056222
35,Binance Coin (BNB),RNN,3,50,64,relu,32,277.1304469634843
43,Binance Coin (BNB),RNN,3,100,64,relu,32,277.31289558708033
26,Binance Coin (BNB),RNN,2,100,64,relu,16,277.38600336879847
29,Binance Coin (BNB),RNN,2,100,128,tanh,32,277.7803459646437
28,Binance Coin (BNB),RNN,2,100,128,tanh,16,278.6378884291384
10,Binance Coin (BNB),RNN,1,100,64,relu,16,279.2728981503024
18,Binance Coin (BNB),RNN,2,50,64,relu,16,279.46488934238437
11,Binance Coin (BNB),RNN,1,100,64,relu,32,280.11078904133194
4,Binance Coin (BNB),RNN,1,50,128,tanh,16,280.6229951977713
6,Binance Coin (BNB),RNN,1,50,128,relu,16,280.8268406761421
23,Binance Coin (BNB),RNN,2,50,128,relu,32,281.64212332113107
31,Binance Coin (BNB),RNN,2,100,128,relu,32,281.6557904769985
36,Binance Coin (BNB),RNN,3,50,128,tanh,16,282.0278482372568
42,Binance Coin (BNB),RNN,3,100,64,relu,16,282.7667962535096
33,Binance Coin (BNB),RNN,3,50,64,tanh,32,282.9528894732684
44,Binance Coin (BNB),RNN,3,100,128,tanh,16,282.9826709871159
0,Binance Coin (BNB),RNN,1,50,64,tanh,16,283.00589475860363
22,Binance Coin (BNB),RNN,2,50,128,relu,16,283.33553771180027
9,Binance Coin (BNB),RNN,1,100,64,tanh,32,286.0489231596073
