,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
23,Cardano (ADA),RNN,2,50,128,relu,32,0.7515350453935545
6,Cardano (ADA),RNN,1,50,128,relu,16,0.7553178314902261
44,Cardano (ADA),RNN,3,100,128,tanh,16,0.760256547125427
9,Cardano (ADA),RNN,1,100,64,tanh,32,0.7609752498672837
19,Cardano (ADA),RNN,2,50,64,relu,32,0.7633720891473945
46,Cardano (ADA),RNN,3,100,128,relu,16,0.7634570354188478
13,Cardano (ADA),RNN,1,100,128,tanh,32,0.7655263734092143
34,Cardano (ADA),RNN,3,50,64,relu,16,0.7680618309299496
5,Cardano (ADA),RNN,1,50,128,tanh,32,0.7692510462367421
35,Cardano (ADA),RNN,3,50,64,relu,32,0.7710618241111978
17,Cardano (ADA),RNN,2,50,64,tanh,32,0.7728301612273228
8,Cardano (ADA),RNN,1,100,64,tanh,16,0.7737216372604597
28,Cardano (ADA),RNN,2,100,128,tanh,16,0.7740861525298435
16,Cardano (ADA),RNN,2,50,64,tanh,16,0.7753354987999322
36,Cardano (ADA),RNN,3,50,128,tanh,16,0.7778851590805719
15,Cardano (ADA),RNN,1,100,128,relu,32,0.7783064072975822
38,Cardano (ADA),RNN,3,50,128,relu,16,0.7803046673513909
24,Cardano (ADA),RNN,2,100,64,tanh,16,0.7821122464290257
29,Cardano (ADA),RNN,2,100,128,tanh,32,0.7826384597661311
10,Cardano (ADA),RNN,1,100,64,relu,16,0.7860563991692452
1,Cardano (ADA),RNN,1,50,64,tanh,32,0.7866143457746491
21,Cardano (ADA),RNN,2,50,128,tanh,32,0.786771659620489
7,Cardano (ADA),RNN,1,50,128,relu,32,0.7873468375073664
27,Cardano (ADA),RNN,2,100,64,relu,32,0.7903536266876993
20,Cardano (ADA),RNN,2,50,128,tanh,16,0.790720963934632
26,Cardano (ADA),RNN,2,100,64,relu,16,0.7916260065833711
22,Cardano (ADA),RNN,2,50,128,relu,16,0.7919733659241294
11,Cardano (ADA),RNN,1,100,64,relu,32,0.7940778625282218
4,Cardano (ADA),RNN,1,50,128,tanh,16,0.7962187848000757
0,Cardano (ADA),RNN,1,50,64,tanh,16,0.7963414443319831
12,Cardano (ADA),RNN,1,100,128,tanh,16,0.7975862245608225
14,Cardano (ADA),RNN,1,100,128,relu,16,0.7978882257680004
43,Cardano (ADA),RNN,3,100,64,relu,32,0.7979673759612264
45,Cardano (ADA),RNN,3,100,128,tanh,32,0.7991092500890709
47,Cardano (ADA),RNN,3,100,128,relu,32,0.7996174958812071
3,Cardano (ADA),RNN,1,50,64,relu,32,0.8030588504690483
41,Cardano (ADA),RNN,3,100,64,tanh,32,0.807341038975063
30,Cardano (ADA),RNN,2,100,128,relu,16,0.8083202971074287
39,Cardano (ADA),RNN,3,50,128,relu,32,0.8086686475265603
42,Cardano (ADA),RNN,3,100,64,relu,16,0.8093738359751828
25,Cardano (ADA),RNN,2,100,64,tanh,32,0.8112566664569028
2,Cardano (ADA),RNN,1,50,64,relu,16,0.8117234044836551
37,Cardano (ADA),RNN,3,50,128,tanh,32,0.815802389358271
33,Cardano (ADA),RNN,3,50,64,tanh,32,0.8208650532392886
40,Cardano (ADA),RNN,3,100,64,tanh,16,0.8349794949749042
32,Cardano (ADA),RNN,3,50,64,tanh,16,0.8430440273792067
31,Cardano (ADA),RNN,2,100,128,relu,32,0.85382832091046
18,Cardano (ADA),RNN,2,50,64,relu,16,0.8598051478810004
