,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
32,TRON (TRX),LSTM,3,50,64,tanh,16,0.0286864510310082
16,TRON (TRX),LSTM,2,50,64,tanh,16,0.02905867909944799
43,TRON (TRX),LSTM,3,100,64,relu,32,0.029094720546369975
44,TRON (TRX),LSTM,3,100,128,tanh,16,0.029115852455264664
45,TRON (TRX),LSTM,3,100,128,tanh,32,0.029266249988997548
40,TRON (TRX),LSTM,3,100,64,tanh,16,0.029375045578010482
41,TRON (TRX),LSTM,3,100,64,tanh,32,0.02938267840455609
30,TRON (TRX),LSTM,2,100,128,relu,16,0.029435660387520664
2,TRON (TRX),LSTM,1,50,64,relu,16,0.029448843708986518
1,TRON (TRX),LSTM,1,50,64,tanh,32,0.02951065638369107
31,TRON (TRX),LSTM,2,100,128,relu,32,0.029523741689232195
28,TRON (TRX),LSTM,2,100,128,tanh,16,0.029537275416269833
9,TRON (TRX),LSTM,1,100,64,tanh,32,0.02961277441437809
8,TRON (TRX),LSTM,1,100,64,tanh,16,0.029651980315484053
13,TRON (TRX),LSTM,1,100,128,tanh,32,0.029653140301319932
29,TRON (TRX),LSTM,2,100,128,tanh,32,0.029726847086032213
33,TRON (TRX),LSTM,3,50,64,tanh,32,0.029736659480830166
17,TRON (TRX),LSTM,2,50,64,tanh,32,0.02974734123413661
22,TRON (TRX),LSTM,2,50,128,relu,16,0.029751738133277257
0,TRON (TRX),LSTM,1,50,64,tanh,16,0.029794640391008122
7,TRON (TRX),LSTM,1,50,128,relu,32,0.029894889827746587
4,TRON (TRX),LSTM,1,50,128,tanh,16,0.029939620846293463
36,TRON (TRX),LSTM,3,50,128,tanh,16,0.029991972821468506
19,TRON (TRX),LSTM,2,50,64,relu,32,0.02999941366952383
24,TRON (TRX),LSTM,2,100,64,tanh,16,0.030002720488799362
39,TRON (TRX),LSTM,3,50,128,relu,32,0.030024133456159386
25,TRON (TRX),LSTM,2,100,64,tanh,32,0.03008617429132818
6,TRON (TRX),LSTM,1,50,128,relu,16,0.03010632815951187
15,TRON (TRX),LSTM,1,100,128,relu,32,0.03014713113831608
11,TRON (TRX),LSTM,1,100,64,relu,32,0.03017061209974853
23,TRON (TRX),LSTM,2,50,128,relu,32,0.03023632556721577
35,TRON (TRX),LSTM,3,50,64,relu,32,0.030263664400965947
26,TRON (TRX),LSTM,2,100,64,relu,16,0.03029237025832403
18,TRON (TRX),LSTM,2,50,64,relu,16,0.03037696682513962
10,TRON (TRX),LSTM,1,100,64,relu,16,0.030385162767212526
47,TRON (TRX),LSTM,3,100,128,relu,32,0.030450411346820524
38,TRON (TRX),LSTM,3,50,128,relu,16,0.030539707568582215
5,TRON (TRX),LSTM,1,50,128,tanh,32,0.0305498309784923
21,TRON (TRX),LSTM,2,50,128,tanh,32,0.030553981068629894
42,TRON (TRX),LSTM,3,100,64,relu,16,0.0306182840774304
12,TRON (TRX),LSTM,1,100,128,tanh,16,0.030620294015354068
14,TRON (TRX),LSTM,1,100,128,relu,16,0.030638158148985264
20,TRON (TRX),LSTM,2,50,128,tanh,16,0.030658504161191
3,TRON (TRX),LSTM,1,50,64,relu,32,0.030660311370243224
27,TRON (TRX),LSTM,2,100,64,relu,32,0.03075147443548092
46,TRON (TRX),LSTM,3,100,128,relu,16,0.030817692060304824
34,TRON (TRX),LSTM,3,50,64,relu,16,0.031085485819602306
37,TRON (TRX),LSTM,3,50,128,tanh,32,0.03146600707469069
