,crypto,model_name,layer_number,hidden_units,dense_units,activation,batch_size,RMSE_tun
22,TRON (TRX),RNN,2,50,128,relu,16,0.02899299340240113
8,TRON (TRX),RNN,1,100,64,tanh,16,0.0290749036689804
1,TRON (TRX),RNN,1,50,64,tanh,32,0.029136596268450856
45,TRON (TRX),RNN,3,100,128,tanh,32,0.029206095520633402
15,TRON (TRX),RNN,1,100,128,relu,32,0.029322515562077413
23,TRON (TRX),RNN,2,50,128,relu,32,0.02936041659092613
12,TRON (TRX),RNN,1,100,128,tanh,16,0.02943346797176419
5,TRON (TRX),RNN,1,50,128,tanh,32,0.029508067758104852
13,TRON (TRX),RNN,1,100,128,tanh,32,0.029512434972539175
9,TRON (TRX),RNN,1,100,64,tanh,32,0.029536315274642972
14,TRON (TRX),RNN,1,100,128,relu,16,0.029548720093207383
4,TRON (TRX),RNN,1,50,128,tanh,16,0.02955159320719207
32,TRON (TRX),RNN,3,50,64,tanh,16,0.029559565220772428
25,TRON (TRX),RNN,2,100,64,tanh,32,0.02959572319608045
38,TRON (TRX),RNN,3,50,128,relu,16,0.02966061300351552
7,TRON (TRX),RNN,1,50,128,relu,32,0.02966195006681093
30,TRON (TRX),RNN,2,100,128,relu,16,0.029672430106939027
20,TRON (TRX),RNN,2,50,128,tanh,16,0.029678842456079543
42,TRON (TRX),RNN,3,100,64,relu,16,0.029698429573924396
16,TRON (TRX),RNN,2,50,64,tanh,16,0.02970363589531796
24,TRON (TRX),RNN,2,100,64,tanh,16,0.029722396013204512
43,TRON (TRX),RNN,3,100,64,relu,32,0.0297292146601255
40,TRON (TRX),RNN,3,100,64,tanh,16,0.0297459850366183
21,TRON (TRX),RNN,2,50,128,tanh,32,0.029774901604893943
26,TRON (TRX),RNN,2,100,64,relu,16,0.029815344286319042
34,TRON (TRX),RNN,3,50,64,relu,16,0.029816231864130797
29,TRON (TRX),RNN,2,100,128,tanh,32,0.029819096299994834
36,TRON (TRX),RNN,3,50,128,tanh,16,0.029858316489622574
18,TRON (TRX),RNN,2,50,64,relu,16,0.02988329390628283
0,TRON (TRX),RNN,1,50,64,tanh,16,0.02991412352576745
3,TRON (TRX),RNN,1,50,64,relu,32,0.029921050166241202
39,TRON (TRX),RNN,3,50,128,relu,32,0.029936161817259235
17,TRON (TRX),RNN,2,50,64,tanh,32,0.02994741582409491
27,TRON (TRX),RNN,2,100,64,relu,32,0.02996910406564112
6,TRON (TRX),RNN,1,50,128,relu,16,0.030019983323832128
37,TRON (TRX),RNN,3,50,128,tanh,32,0.030040377412030316
31,TRON (TRX),RNN,2,100,128,relu,32,0.030044580248040527
41,TRON (TRX),RNN,3,100,64,tanh,32,0.030111020945862703
33,TRON (TRX),RNN,3,50,64,tanh,32,0.0301512242397964
35,TRON (TRX),RNN,3,50,64,relu,32,0.030172909513209722
28,TRON (TRX),RNN,2,100,128,tanh,16,0.03017319250892707
46,TRON (TRX),RNN,3,100,128,relu,16,0.030186226555315415
11,TRON (TRX),RNN,1,100,64,relu,32,0.03027115162518315
2,TRON (TRX),RNN,1,50,64,relu,16,0.030293009374808343
10,TRON (TRX),RNN,1,100,64,relu,16,0.03032386618950737
19,TRON (TRX),RNN,2,50,64,relu,32,0.03032705986124706
44,TRON (TRX),RNN,3,100,128,tanh,16,0.030533700441169095
47,TRON (TRX),RNN,3,100,128,relu,32,0.03105226133320328
